Name,Description,Rooms,TaskNames,TaskDescriptions,TaskImages,Tags,isPublic,ExpenseNames,ExpenseCosts
Retaining Wall Build,Retaining Wall Build to improve functionality and aesthetics.,Yard,Repair drywall;Install HVAC;Upgrade insulation,Fix cracks or holes in drywall.;Set up an energy-efficient heating and cooling system.;Enhance thermal efficiency with new insulation.,window.png;roofing.png;finishing_touches.png,Retaining;Wall;Build;Repair drywall,true,Anyone;Guy;Law,251.03;373.80;125.00
Treehouse Construction,Treehouse Construction to improve functionality and aesthetics.,Yard,Fix plumbing;Repair drywall;Lay tile,"Address leaks and install new pipes where needed.;Fix cracks or holes in drywall.;Lay durable ceramic tiles for a clean, stylish finish.",house.png;insulation.png;finishing_touches.png,Treehouse;Construction;Fix plumbing;Repair drywall;Lay tile,true,Vote;Station|View|Newspaper;,62.43;223.41|285.56|24.08;
Outdoor Kitchen Setup,Outdoor Kitchen Setup to improve functionality and aesthetics.,Patio,Install cabinets;Add landscaping;Finish carpentry,Custom cabinets added for optimized storage.;Improve curb appeal with planting and garden features.;Complete detailed woodwork and molding.,door.png;electrical.png;plumbing.png,Outdoor;Kitchen;Setup;Install cabinets;Add landscaping,true,Need|Easy;Over|Consumer|Yet|Between;,422.12|33.70;149.06|289.62|81.60|495.47;
Greenhouse Installation,Greenhouse Installation to improve functionality and aesthetics.,Greenhouse,Finish carpentry;Lay tile;Paint exterior,"Complete detailed woodwork and molding.;Lay durable ceramic tiles for a clean, stylish finish.;Refresh the exterior with weather-resistant paint.",insulation.png;door.png;roofing.png,Greenhouse;Installation;Finish carpentry;Lay tile;Paint exterior,true,He|Per|Tonight|My;Even|Magazine|Air|Others;,355.18|466.18|452.81|252.29;68.85|231.54|203.24|498.45;
Hot Tub Setup,Hot Tub Setup to improve functionality and aesthetics.,Spa Area,Install HVAC;Install cabinets;Install appliances,Set up an energy-efficient heating and cooling system.;Custom cabinets added for optimized storage.;Add high-efficiency appliances.,flooring.png;landscaping.png;painting.png,Setup;Install HVAC;Install cabinets;Install appliances,true,Reflect|Magazine|May|Soon;Meeting|Data|Peace;Trip|Know|Hard|Real,333.79|456.32|299.64|378.57;84.82|412.82|195.58;131.82|72.77|359.91|133.84
Smart Thermostat Install,Smart Thermostat Install to improve functionality and aesthetics.,Living Room,Install lighting;Install flooring;Finish carpentry,"Install energy-efficient lighting for improved brightness.;Lay new hardwood, laminate, or tile flooring.;Complete detailed woodwork and molding.",structural.png;landscaping.png;demolition.png,Thermostat;Install;Install lighting;Install flooring;Finish carpentry,true,Finally;;Close|Structure,18.95;;432.34|69.57
Radiant Floor Heating,Radiant Floor Heating to improve functionality and aesthetics.,Bathroom,Install trim;Replace windows;Install lighting,Add detailed finishing trim.;Install modern windows for better energy performance.;Install energy-efficient lighting for improved brightness.,clean_up.png;house.png;insulation.png,Radiant;Floor;Heating;Install trim,true,;;Ground|Late|Father,;;264.60|182.45|291.33
Interior Trim Work,Interior Trim Work to improve functionality and aesthetics.,Interior,Install shelving;Paint exterior;Install lighting,Add practical and stylish shelving.;Refresh the exterior with weather-resistant paint.;Install energy-efficient lighting for improved brightness.,electrical.png;carpentry.png;landscaping.png,Interior;Trim;Work;Install shelving,true,Very|High|Agency;Clear|After|Do|Stage;,465.54|8.87|143.60;281.69|218.77|487.99|191.66;
Wall Paneling,Wall Paneling to improve functionality and aesthetics.,Walls,Install lighting;Install door;Install shelving,"Install energy-efficient lighting for improved brightness.;Install a durable, stylish new door.;Add practical and stylish shelving.",clean_up.png;insulation.png;finishing_touches.png,Wall;Paneling;Install lighting;Install door;Install shelving,true,Interest|Concern|At;Song|Range|Agreement;Whatever|Product|Surface,191.59|40.00|303.32;58.10|359.93|316.22;297.93|108.07|349.55
Masonry Repair,Masonry Repair to improve functionality and aesthetics.,Exterior,Install door;Paint exterior;Install appliances,"Install a durable, stylish new door.;Refresh the exterior with weather-resistant paint.;Add high-efficiency appliances.",landscaping.png;plumbing.png;electrical.png,Masonry;Repair;Install door;Paint exterior;Install appliances,true,Plan|Improve|After;Quickly|Whole;Yourself|Foreign,146.60|123.80|486.44;374.89|294.13;142.25|314.81
Concrete Walkway,Concrete Walkway to improve functionality and aesthetics.,Pathway,Paint walls;Add landscaping;Repair drywall,"Paint the walls with a contemporary, appealing color scheme.;Improve curb appeal with planting and garden features.;Fix cracks or holes in drywall.",structural.png;electrical.png;landscaping.png,Concrete;Walkway;Paint walls;Add landscaping;Repair drywall,true,Remember|Phone|Reduce|Role;;Building|Act,339.81|143.43|64.98|394.79;;55.90|213.17
Garden Path Design,Garden Path Design to improve functionality and aesthetics.,Garden,Paint walls;Install ventilation;Install cabinets,"Paint the walls with a contemporary, appealing color scheme.;Add vents for better air circulation.;Custom cabinets added for optimized storage.",insulation.png;window.png;structural.png,Garden;Path;Design;Paint walls;Install ventilation,true,Price|Pm;Phone|Include;End,133.19|375.97;93.17|349.41;458.05
Mailbox Structure,Mailbox Structure to improve functionality and aesthetics.,Mailbox,Replace windows;Fix plumbing;Finish carpentry,Install modern windows for better energy performance.;Address leaks and install new pipes where needed.;Complete detailed woodwork and molding.,house.png;insulation.png;painting.png,Mailbox;Structure;Replace windows;Fix plumbing;Finish carpentry,true,Black|North|Seem;Debate|Art|Red;Identify,320.25|111.40|44.39;428.78|299.14|389.47;473.77
Window Seat Build,Window Seat Build to improve functionality and aesthetics.,Nook,Install door;Install HVAC;Upgrade insulation,"Install a durable, stylish new door.;Set up an energy-efficient heating and cooling system.;Enhance thermal efficiency with new insulation.",plumbing.png;landscaping.png;structural.png,Window;Seat;Build;Install door;Install HVAC,true,Policy|Next|When;Possible;,29.61|419.33|374.07;333.06;
Built-in Bookshelf,Built-in Bookshelf to improve functionality and aesthetics.,Library,Repair roof;Install shelving;Paint walls,"Reinforce or replace roofing materials.;Add practical and stylish shelving.;Paint the walls with a contemporary, appealing color scheme.",insulation.png;clean_up.png;finishing_touches.png,Built-in;Bookshelf;Repair roof;Install shelving;Paint walls,true,Little;Change|Ahead|Beat;,393.80;334.28|245.83|137.97;
Accent Wall Painting,Accent Wall Painting to improve functionality and aesthetics.,Living Room,Paint exterior;Install HVAC;Install door,"Refresh the exterior with weather-resistant paint.;Set up an energy-efficient heating and cooling system.;Install a durable, stylish new door.",house.png;electrical.png;hvac.png,Accent;Wall;Painting;Paint exterior;Install HVAC,true,;National|Decision;She|Administration|Glass,;327.06|316.79;294.61|184.93|464.44
Pet Area Renovation,Pet Area Renovation to improve functionality and aesthetics.,Pet Room,Finish carpentry;Paint exterior;Replace windows,Complete detailed woodwork and molding.;Refresh the exterior with weather-resistant paint.;Install modern windows for better energy performance.,plumbing.png;demolition.png;window.png,Pet;Area;Renovation;Finish carpentry,true,Get|Score|Ahead|Free;And;Form|Stay|Born|Strong,479.06|126.33|171.40|494.88;71.91;311.73|382.27|403.50|305.18
